player,average_shot_length,net_points_rate,net_points_won_rate,winners_rate,unforced_errors_rate,slices_rate,dropshots_rate,crosscourt_rate,middlecourt_rate,down_the_line_rate,average_response_depth,opening_2nd_ground_fh_bh_ratio,opening_3rd_ground_fh_bh_ratio,opening_1st_ground_fh_bh_ratio,cluster
Gilles_Simon,2.201923076923077,0.1022727272727272,0.6666666666666666,0.0139860139860139,0.1678321678321678,0.0633187772925764,0.0065502183406113,0.2903930131004367,0.3493449781659388,0.3493449781659388,2.099099099099099,0.7187499999999999,1.3333333333333337,0.7575757575757573,0
Giovanni_Mpetshi_Perricard,1.117878192534381,0.119047619047619,0.4571428571428571,0.0802792321116928,0.1535776614310645,0.148506151142355,0.0035149384885764,0.2530755711775044,0.40597539543058,0.3268892794376098,2.042105263157895,1.5813953488372092,1.9444444444444444,1.096774193548387,1
Gregoire_Barrere,1.4144736842105263,0.125,0.6190476190476191,0.0178571428571428,0.1392857142857143,0.1860465116279069,0.0124031007751937,0.241860465116279,0.4201550387596899,0.3116279069767442,2.0681818181818183,1.1333333333333333,1.4799999999999998,1.024390243902439,2
Grigor_Dimitrov,1.2533062054933877,0.0522648083623693,0.4666666666666667,0.0846846846846846,0.1855855855855855,0.2767857142857143,0.0032467532467532,0.2491883116883116,0.3425324675324675,0.3920454545454545,2.0933014354066986,1.5384615384615383,2.102564102564103,1.2916666666666667,1
Holger_Rune,1.3995381062355658,0.1858974358974359,0.4482758620689655,0.1022727272727272,0.1856060606060606,0.2095709570957095,0.0049504950495049,0.1963696369636963,0.4389438943894389,0.3399339933993399,1.9469026548672568,0.7941176470588236,1.1,0.8823529411764708,3
Hubert_Hurkacz,1.1819908213324892,0.1259181532004197,0.5125,0.0264935064935064,0.1524675324675324,0.2146204311152764,0.0101753916186905,0.2708528584817244,0.3572098005087696,0.3345829428303655,2.086709886547812,1.3309090909090906,1.4096916299559474,0.6816037735849056,1
Jack_Draper,0.9805825242718448,0.1428571428571428,0.7272727272727273,0.1636363636363636,0.0969696969696969,0.1386138613861386,0.0066006600660066,0.3465346534653465,0.4224422442244224,0.2178217821782178,1.4090909090909092,0.875,1.181818181818182,0.7647058823529411,3
Jan_Choinski,1.4233576642335766,0.0638297872340425,0.8333333333333334,0.0054644808743169,0.1584699453551912,0.1897435897435897,0.0102564102564102,0.3205128205128205,0.3564102564102564,0.2871794871794871,2.1307692307692307,2.9000000000000004,1.4615384615384617,0.5769230769230768,2
Jan_Lennard_Struff,0.888235294117647,0.1574074074074074,0.5294117647058824,0.0778588807785888,0.1581508515815085,0.1311258278145695,0.0026490066225165,0.2158940397350993,0.4490066225165562,0.3059602649006622,2.0289017341040463,1.3846153846153848,1.2,0.4693877551020408,1
Jannik_Sinner,1.4124936772888217,0.099009900990099,0.6428571428571429,0.0510486743173723,0.1788682231895528,0.128379588182632,0.0093106535362578,0.2569382273948075,0.3940913160250671,0.3271262309758281,2.00791974656811,1.0793650793650795,1.2193308550185873,0.8229426433915211,2
Jenson_Brooksby,1.5290697674418603,0.1007751937984496,0.6923076923076923,0.0863636363636363,0.2909090909090909,0.1197718631178707,0.0152091254752851,0.2243346007604562,0.4524714828897338,0.3079847908745247,2.0,1.4230769230769234,0.8333333333333333,0.6739130434782608,0
Jeremy_Chardy,1.25,0.0641025641025641,0.4,0.1438848920863309,0.1438848920863309,0.1298245614035087,0.0070175438596491,0.2385964912280701,0.3789473684210526,0.375438596491228,2.1619047619047618,2.4285714285714284,3.500000000000001,1.1666666666666667,1
Jiri_Lehecka,1.0671462829736211,0.0909090909090909,0.2,0.0210084033613445,0.1722689075630252,0.1438202247191011,0.0067415730337078,0.2449438202247191,0.3617977528089887,0.3550561797752809,2.155844155844156,0.6666666666666665,1.2941176470588236,1.2105263157894737,1
Jiri_Vesely,1.1478537360890302,0.1618497109826589,0.5357142857142857,0.0277777777777777,0.1161616161616161,0.1994459833795014,0.0083102493074792,0.2437673130193905,0.3975069252077562,0.3462603878116344,1.9726962457337884,1.4,1.272727272727273,0.6153846153846154,1
John_Isner,1.032258064516129,0.15625,0.7,0.0903225806451612,0.1741935483870967,0.2083333333333333,0.0034722222222222,0.2048611111111111,0.3819444444444444,0.3923611111111111,1.875,1.7000000000000002,2.4,0.875,1
