player,average_shot_length,net_points_rate,net_points_won_rate,winners_rate,unforced_errors_rate,slices_rate,dropshots_rate,crosscourt_rate,middlecourt_rate,down_the_line_rate,ace_rate,opening_1st_body,opening_1st_down_the_t,opening_1st_out_wide,opening_2nd_ground_fh_bh_ratio,opening_3rd_ground_fh_bh_ratio,cluster
Casper_Ruud,2.0725388601036268,0.3980582524271844,0.6829268292682927,0.3246073298429319,0.2146596858638743,0.1497584541062802,0.0531400966183574,0.251207729468599,0.2584541062801932,0.4830917874396135,0.0544041450777202,0.203883495145631,0.4466019417475728,0.3300970873786408,5.153846153846154,2.210526315789474,0
Charles_Broom,2.0806451612903225,0.2857142857142857,0.3,0.0967741935483871,0.2096774193548387,0.1641791044776119,0.0074626865671641,0.3582089552238806,0.2611940298507462,0.3805970149253731,0.0483870967741935,0.3142857142857143,0.3714285714285714,0.2857142857142857,2.6250000000000004,1.25,1
Christopher_Eubanks,1.6995249406175772,0.6142857142857143,0.627906976744186,0.3065902578796561,0.2206303724928366,0.0916808149405772,0.0118845500848896,0.2869269949066214,0.200339558573854,0.4923599320882852,0.1128266033254156,0.2285714285714285,0.3714285714285714,0.3428571428571428,2.705882352941177,2.4642857142857144,3
Christopher_Oconnell,1.8641975308641976,0.6333333333333333,0.6842105263157895,0.1184210526315789,0.1973684210526315,0.1357142857142857,0.0214285714285714,0.3785714285714285,0.2071428571428571,0.3642857142857142,0.0555555555555555,0.3,0.1666666666666666,0.5,12.000000000000014,5.666666666666666,3
Constant_Lestienne,2.25,0.2063492063492063,0.4615384615384615,0.2178217821782178,0.297029702970297,0.0638297872340425,0.0638297872340425,0.2382978723404255,0.1914893617021276,0.5659574468085107,0.0319148936170212,0.1269841269841269,0.2539682539682539,0.6031746031746031,1.32,1.238095238095238,2
Cristian_Garin,2.480769230769231,0.2126696832579185,0.6382978723404256,0.1993865030674846,0.2116564417177914,0.0746753246753246,0.0205627705627705,0.303030303030303,0.2922077922077922,0.3993506493506493,0.0288461538461538,0.4298642533936652,0.1945701357466063,0.3484162895927601,1.7105263157894737,1.337837837837838,1
Daniel_Altmaier,2.076923076923077,0.4390243902439024,0.6111111111111112,0.3417721518987341,0.240506329113924,0.2346938775510204,0.010204081632653,0.2959183673469387,0.3418367346938775,0.3571428571428571,0.0934065934065934,0.0975609756097561,0.3658536585365853,0.4878048780487805,2.083333333333333,3.0000000000000013,0
Daniel_Elahi_Galan,1.899047619047619,0.2892561983471074,0.5714285714285714,0.2489082969432314,0.2139737991266375,0.0656779661016949,0.0211864406779661,0.288135593220339,0.3495762711864407,0.3432203389830508,0.0819047619047619,0.4049586776859504,0.2479338842975206,0.3223140495867768,1.5434782608695654,1.116279069767442,1
Daniel_Evans,2.036363636363636,0.3614457831325301,0.7,0.2222222222222222,0.1895424836601307,0.3040935672514619,0.0116959064327485,0.283625730994152,0.2807017543859649,0.4327485380116959,0.0515151515151515,0.1686746987951807,0.4578313253012048,0.3373493975903614,17.333333333333343,3.700000000000002,3
Daniil_Medvedev,2.1530976321764514,0.3634146341463414,0.6510067114093959,0.2399723374827109,0.156984785615491,0.0950773558368495,0.0385372714486638,0.290014064697609,0.2711673699015471,0.430098452883263,0.0729808627959779,0.2097560975609756,0.3573170731707317,0.4121951219512195,1.136752136752137,0.9451612903225806,1
David_Goffin,2.1830742659758204,0.2272727272727272,0.65,0.1366906474820144,0.1762589928057553,0.1605839416058394,0.0218978102189781,0.3021897810218978,0.2744525547445255,0.4204379562043795,0.0604490500863557,0.2670454545454545,0.3125,0.4034090909090909,1.267605633802817,1.333333333333333,1
Denis_Shapovalov,1.9855072463768115,0.4057971014492754,0.8214285714285714,0.496,0.32,0.0661764705882353,0.0183823529411764,0.3786764705882353,0.2242647058823529,0.3897058823529412,0.0688405797101449,0.217391304347826,0.4347826086956521,0.3478260869565217,2.5789473684210527,1.157894736842105,2
Dennis_Novak,1.8693181818181817,0.4864864864864865,0.5555555555555556,0.0449438202247191,0.1235955056179775,0.1241830065359477,0.0392156862745098,0.2810457516339869,0.2679738562091503,0.4509803921568627,0.0227272727272727,0.3783783783783784,0.2432432432432432,0.3783783783783784,0.7222222222222221,0.6666666666666667,1
Diego_Schwartzman,2.744525547445256,0.0990990990990991,0.9090909090909092,0.1385542168674698,0.2891566265060241,0.0732217573221757,0.0146443514644351,0.2970711297071129,0.3263598326359833,0.3723849372384937,0.0145985401459854,0.2702702702702703,0.3603603603603603,0.3333333333333333,1.2765957446808514,1.4500000000000002,1
Dominic_Stricker,2.1403508771929824,0.6363636363636364,0.7619047619047619,0.1272727272727272,0.2181818181818181,0.123076923076923,0.0384615384615384,0.3769230769230769,0.1846153846153846,0.4307692307692308,0.0614035087719298,0.0303030303030303,0.4242424242424242,0.5151515151515151,2.125,1.75,2
Dominic_Thiem,1.7828947368421053,0.6436781609195402,0.7857142857142857,0.4846938775510204,0.25,0.072829131652661,0.0476190476190476,0.3501400560224089,0.1848739495798319,0.4565826330532213,0.0679824561403508,0.0804597701149425,0.264367816091954,0.6206896551724138,2.7000000000000006,1.8333333333333333,0
Dominik_Koepfer,2.1446808510638298,0.3538461538461538,0.7391304347826086,0.2777777777777778,0.2685185185185185,0.1152416356877323,0.0223048327137546,0.4349442379182156,0.1821561338289963,0.3717472118959107,0.0425531914893617,0.2307692307692307,0.3692307692307692,0.3538461538461538,2.0000000000000004,0.8260869565217392,2
Emil_Ruusuvuori,2.286764705882353,0.1857142857142857,0.7051282051282052,0.2294372294372294,0.2929292929292929,0.0817142857142857,0.0182857142857142,0.336,0.2297142857142857,0.4291428571428571,0.0419117647058823,0.2452380952380952,0.35,0.3833333333333333,1.4777070063694269,1.5954198473282444,2
Federico_Delbonis,1.7815533980582523,0.3783783783783784,0.6428571428571429,0.1720430107526881,0.1935483870967742,0.1304347826086956,0.0062111801242236,0.3105590062111801,0.2484472049689441,0.4347826086956521,0.0776699029126213,0.2972972972972973,0.2702702702702703,0.3783783783783784,3.125,4.75,3
Feliciano_Lopez,1.7371794871794872,0.8292682926829268,0.6029411764705882,0.1894736842105263,0.131578947368421,0.2463768115942029,0.017391304347826,0.3507246376811594,0.272463768115942,0.3768115942028985,0.0918803418803418,0.3292682926829268,0.4024390243902439,0.2073170731707317,23.000000000000025,2.5,3
Felix_Auger_Aliassime,1.86360266864344,0.3076923076923077,0.6847826086956522,0.3516483516483517,0.2344322344322344,0.103862660944206,0.0145922746781115,0.3175965665236051,0.1570815450643777,0.4858369098712446,0.0985915492957746,0.2575250836120401,0.4247491638795986,0.2909698996655518,2.6944444444444446,2.40677966101695,3
Filip_Krajinovic,1.9048913043478264,0.4090909090909091,0.6111111111111112,0.4104046242774566,0.2658959537572254,0.1921921921921922,0.066066066066066,0.2372372372372372,0.5345345345345346,0.2282282282282282,0.092391304347826,0.2840909090909091,0.3977272727272727,0.3181818181818182,1.2758620689655171,1.2083333333333333,0
